shape,rows,cols,trial,ns_steps,theoretical_unscaled_rms,exact_unscaled_rms,exact_scaled_rms,observed_unscaled_rms,observed_scaled_rms,scaled_target_rms,exact_unscaled_rms_ratio,unscaled_rms_ratio,scaled_rms_error,singular_min,singular_mean,singular_max
64x16,64,16,3,5,0.125,0.1249999925494194,0.19999997317790985,0.11243625730276108,0.17989800870418549,0.2,0.9999999403953552,0.8994900584220886,-0.020101991295814525,0.6827337145805359,0.8828173279762268,1.1428625583648682
64x16,64,16,4,5,0.125,0.1249999925494194,0.19999997317790985,0.11521776765584946,0.1843484342098236,0.2,0.9999999403953552,0.9217421412467957,-0.015651565790176403,0.6820534467697144,0.9055951833724976,1.128147840499878
64x16,64,16,5,5,0.125,0.125,0.20000000298023224,0.10981224477291107,0.1756996065378189,0.2,1.0,0.8784979581832886,-0.024300393462181102,0.6754288077354431,0.8631054162979126,1.1340628862380981
64x16,64,16,6,5,0.125,0.125,0.20000000298023224,0.11177963018417358,0.17884741723537445,0.2,1.0,0.8942370414733887,-0.02115258276462556,0.6773074269294739,0.8800328969955444,1.117046594619751
64x16,64,16,7,5,0.125,0.125,0.20000000298023224,0.11045777797698975,0.17673243582248688,0.2,1.0,0.883662223815918,-0.023267564177513134,0.681195855140686,0.8687697649002075,1.1080029010772705
64x256,64,256,0,5,0.0625,0.0625000074505806,0.20000003278255463,0.05306572467088699,0.16981032490730286,0.2,1.0000001192092896,0.8490515947341919,-0.030189675092697155,0.6795024871826172,0.8375911712646484,1.1331229209899902
64x256,64,256,1,5,0.0625,0.0625000149011612,0.20000004768371582,0.05371291562914848,0.17188133299350739,0.2,1.000000238418579,0.8594066500663757,-0.028118667006492626,0.6804977655410767,0.847141683101654,1.1348801851272583
64x256,64,256,2,5,0.0625,0.0625,0.20000000298023224,0.05349750816822052,0.1711920201778412,0.2,1.0,0.8559601306915283,-0.028807979822158825,0.6803988218307495,0.8440005779266357,1.1339293718338013
64x256,64,256,3,5,0.0625,0.0625,0.20000001788139343,0.05351009592413902,0.17123231291770935,0.2,1.0,0.8561615347862244,-0.02876768708229066,0.6767019033432007,0.8430147171020508,1.1345863342285156
64x256,64,256,4,5,0.0625,0.0625,0.20000000298023224,0.053480252623558044,0.17113681137561798,0.2,1.0,0.8556840419769287,-0.02886318862438203,0.6783930063247681,0.8430660367012024,1.1358486413955688
64x256,64,256,5,5,0.0625,0.0625,0.20000001788139343,0.053604960441589355,0.1715358942747116,0.2,1.0,0.8576793670654297,-0.028464105725288402,0.6798989772796631,0.8452322483062744,1.1398115158081055
64x256,64,256,6,5,0.0625,0.0624999962747097,0.20000000298023224,0.05369886755943298,0.17183637619018555,0.2,0.9999999403953552,0.8591818809509277,-0.028163623809814464,0.6768930554389954,0.847091555595398,1.1305707693099976
64x256,64,256,7,5,0.0625,0.0625,0.20000000298023224,0.053454507142305374,0.1710544228553772,0.2,1.0,0.855272114276886,-0.028945577144622814,0.681538999080658,0.842892587184906,1.128212571144104
256x64,256,64,0,5,0.0625,0.0625,0.20000000298023224,0.05337705463171005,0.17080657184123993,0.2,1.0,0.8540328741073608,-0.029193428158760082,0.6793373823165894,0.8423193097114563,1.1342401504516602
256x64,256,64,1,5,0.0625,0.0625,0.19999998807907104,0.05316746234893799,0.17013588547706604,0.2,1.0,0.8506793975830078,-0.02986411452293397,0.6779335737228394,0.8388493061065674,1.129482388496399
256x64,256,64,2,5,0.0625,0.0625,0.20000003278255463,0.053615130484104156,0.17156842350959778,0.2,1.0,0.8578420877456665,-0.028431576490402233,0.6775561571121216,0.8452880382537842,1.1323693990707397
256x64,256,64,3,5,0.0625,0.0625,0.20000000298023224,0.05306755751371384,0.16981618106365204,0.2,1.0,0.8490809202194214,-0.030183818936347973,0.6791062951087952,0.8369883894920349,1.1363897323608398
256x64,256,64,4,5,0.0625,0.0625000074505806,0.20000003278255463,0.053464971482753754,0.17108790576457977,0.2,1.0000001192092896,0.8554395437240601,-0.028912094235420238,0.6777248382568359,0.8430798053741455,1.1372978687286377
256x64,256,64,5,5,0.0625,0.0624999962747097,0.20000000298023224,0.05381377041339874,0.17220407724380493,0.2,0.9999999403953552,0.8610203266143799,-0.02779592275619508,0.6788607239723206,0.8482834100723267,1.1300022602081299
256x64,256,64,6,5,0.0625,0.0625,0.20000000298023224,0.05352890491485596,0.1712924987077713,0.2,1.0,0.8564624786376953,-0.02870750129222871,0.6800011992454529,0.8445149064064026,1.1294686794281006
256x64,256,64,7,5,0.0625,0.0625,0.20000000298023224,0.05347519367933273,0.17112062871456146,0.2,1.0,0.8556030988693237,-0.02887937128543855,0.6791889071464539,0.8436822891235352,1.131582498550415
128x512,128,512,0,5,0.044194173824159216,0.04419417679309845,0.20000004768371582,0.03829214721918106,0.17329047620296478,0.2,1.000000067179426,0.866452382876049,-0.02670952379703523,0.677126407623291,0.8515587449073792,1.138851284980774
128x512,128,512,1,5,0.044194173824159216,0.04419417306780815,0.20000001788139343,0.038460519164800644,0.17405244708061218,0.2,0.999999982885729,0.8702622051003427,-0.02594755291938783,0.6766443848609924,0.8554614782333374,1.1439785957336426
128x512,128,512,2,5,0.044194173824159216,0.04419417679309845,0.20000001788139343,0.03830532729625702,0.17335012555122375,0.2,1.000000067179426,0.866750613976112,-0.026649874448776256,0.6761512756347656,0.8516731858253479,1.1383273601531982
128x512,128,512,3,5,0.044194173824159216,0.04419417679309845,0.20000001788139343,0.03836771100759506,0.1736324578523636,0.2,1.000000067179426,0.8681621962264389,-0.026367542147636425,0.6783260107040405,0.8533861041069031,1.1463052034378052
128x512,128,512,4,5,0.044194173824159216,0.04419417679309845,0.20000003278255463,0.03848985955119133,0.17418523132801056,0.2,1.000000067179426,0.8709261022580863,-0.025814768671989452,0.6765521168708801,0.856418788433075,1.1430671215057373
128x512,128,512,5,5,0.044194173824159216,0.04419417679309845,0.20000001788139343,0.03840601444244385,0.17380578815937042,0.2,1.000000067179426,0.869028904019217,-0.02619421184062959,0.6767968535423279,0.853822648525238,1.1423449516296387
128x512,128,512,6,5,0.044194173824159216,0.04419417679309845,0.20000003278255463,0.03822322189807892,0.17297855019569397,0.2,1.000000067179426,0.8648927808937518,-0.02702144980430604,0.6780111193656921,0.8501023054122925,1.1405057907104492
128x512,128,512,7,5,0.044194173824159216,0.04419417679309845,0.20000001788139343,0.03846528381109238,0.17407400906085968,0.2,1.000000067179426,0.8703700167388335,-0.02592599093914033,0.6765428781509399,0.855248749256134,1.14555025100708
512x128,512,128,0,5,0.044194173824159216,0.04419417679309845,0.20000003278255463,0.03844909742474556,0.17400075495243073,0.2,1.000000067179426,0.8700037606252738,-0.025999245047569286,0.6740828156471252,0.8549728989601135,1.1423380374908447
512x128,512,128,1,5,0.044194173824159216,0.04419417306780815,0.20000001788139343,0.03839109465479851,0.1737382560968399,0.2,0.999999982885729,0.8686913077626447,-0.026261743903160106,0.6773709058761597,0.8540250658988953,1.1443860530853271
512x128,512,128,2,5,0.044194173824159216,0.04419417306780815,0.20000001788139343,0.038440100848674774,0.17396004498004913,0.2,0.999999982885729,0.8698001913469663,-0.026039955019950878,0.678076982498169,0.855070948600769,1.1403523683547974
512x128,512,128,3,5,0.044194173824159216,0.04419417679309845,0.20000001788139343,0.038348615169525146,0.17354603111743927,0.2,1.000000067179426,0.8677301067355052,-0.02645396888256074,0.6774281859397888,0.8531969785690308,1.1392921209335327
512x128,512,128,4,5,0.044194173824159216,0.04419416934251785,0.19999997317790985,0.038389191031455994,0.17372964322566986,0.2,0.999999898592032,0.8686482336834666,-0.02627035677433015,0.6778303384780884,0.8539786338806152,1.1409446001052856
512x128,512,128,5,5,0.044194173824159216,0.04419417306780815,0.20000001788139343,0.038474686443805695,0.1741165667772293,0.2,0.999999982885729,0.8705827740301165,-0.025883433222770702,0.6781198382377625,0.8557349443435669,1.143350601196289
512x128,512,128,6,5,0.044194173824159216,0.04419417679309845,0.20000003278255463,0.038280390202999115,0.17323727905750275,0.2,1.000000067179426,0.8661863519682481,-0.026762720942497265,0.6771159172058105,0.8510299921035767,1.1448167562484741
512x128,512,128,7,5,0.044194173824159216,0.04419417306780815,0.20000000298023224,0.03827483579516411,0.17321215569972992,0.2,0.999999982885729,0.8660606700659886,-0.02678784430027009,0.6748762130737305,0.8512502908706665,1.1418266296386719
256x256,256,256,0,5,0.0625,0.0625,0.20000001788139343,0.05645065754652023,0.18064211308956146,0.2,1.0,0.9032105207443237,-0.01935788691043855,0.024347757920622826,0.886157751083374,1.202672004699707
256x256,256,256,1,5,0.0625,0.0625,0.20000001788139343,0.05649488791823387,0.18078364431858063,0.2,1.0,0.9039182066917419,-0.019216355681419384,0.028604887425899506,0.8867756724357605,1.200602412223816
256x256,256,256,2,5,0.0625,0.0625,0.20000000298023224,0.056375905871391296,0.18040290474891663,0.2,1.0,0.9020144939422607,-0.019597095251083385,0.17905734479427338,0.8849159479141235,1.1994274854660034
256x256,256,256,3,5,0.0625,0.0625,0.20000000298023224,0.05642097815871239,0.18054713308811188,0.2,1.0,0.9027356505393982,-0.019452866911888134,0.010411687195301056,0.8857324719429016,1.1983940601348877
256x256,256,256,4,5,0.0625,0.0624999962747097,0.19999998807907104,0.05662127211689949,0.18118807673454285,0.2,0.9999999403953552,0.9059403538703918,-0.018811923265457164,0.19647420942783356,0.8891154527664185,1.1984308958053589
256x256,256,256,5,5,0.0625,0.0625,0.20000000298023224,0.056350987404584885,0.18032315373420715,0.2,1.0,0.9016157984733582,-0.019676846265792858,0.04742155224084854,0.8840786218643188,1.2026859521865845
256x256,256,256,6,5,0.0625,0.0625,0.20000000298023224,0.05650774762034416,0.18082480132579803,0.2,1.0,0.9041239619255066,-0.019175198674201976,0.02412271499633789,0.885708212852478,1.2021745443344116
256x256,256,256,7,5,0.0625,0.0625,0.20000001788139343,0.05654659494757652,0.18094909191131592,0.2,1.0,0.9047455191612244,-0.019050908088684093,0.11364540457725525,0.8882249593734741,1.2011750936508179
